Analyzing: Layer 12, 8x expansion (K=32)
Directory: /biodata/nyanovsky/datasets/pbmc3k/layer_12/sae_k_32_5120_online/interpretations_filter_zero_expressed

Feature    | Top Cell Type (r)         | Top Significant GO Terms
346        | CD4 T cells (0.42)        | nucleolus (GO:0005730) (GO_Cellular_Component_2021) || nuclear lumen (GO:0031981) (GO_Cellular_Component_2021) || integral component of mitochondrial membrane (GO:0032592) (GO_Cellular_Component_2021)
796        | CD4 T cells (0.37)        | microtubule cytoskeleton (GO:0015630) (GO_Cellular_Component_2021) || NAD+ binding (GO:0070403) (GO_Molecular_Function_2021) || poly(U) RNA binding (GO:0008266) (GO_Molecular_Function_2021)
1037       | B cells (-0.27)           | neutrophil degranulation (GO:0043312) (GO_Biological_Process_2021) || neutrophil activation involved in immune response (GO:0002283) (GO_Biological_Process_2021) || neutrophil mediated immunity (GO:0002446) (GO_Biological_Process_2021)
3228       | CD14+ Monocytes (-0.65)   | cell cycle G1/S phase transition (GO:0044843) (GO_Biological_Process_2021) || mitotic cell cycle phase transition (GO:0044772) (GO_Biological_Process_2021) || regulation of retinoic acid receptor signaling pathway (GO:0048385) (GO_Biological_Process_2021)
4472       | FCGR3A+ Monocytes (0.20)  | Cul4-RING E3 ubiquitin ligase complex (GO:0080008) (GO_Cellular_Component_2021)
1141       | B cells (-0.26)           | acetylgalactosaminyltransferase activity (GO:0008376) (GO_Molecular_Function_2021) || positive regulation of granulocyte macrophage colony-stimulating factor production (GO:0032725) (GO_Biological_Process_2021) || regulation of granulocyte macrophage colony-stimulating factor production (GO:0032645) (GO_Biological_Process_2021)
3749       | CD14+ Monocytes (-0.57)   | regulation of dendritic cell differentiation (GO:2001198) (GO_Biological_Process_2021) || positive regulation of reactive oxygen species metabolic process (GO:2000379) (GO_Biological_Process_2021) || negative regulation of dendritic cell differentiation (GO:2001199) (GO_Biological_Process_2021)
707        | CD14+ Monocytes (-0.61)   | regulation of immune response (GO:0050776) (GO_Biological_Process_2021) || cellular response to type I interferon (GO:0071357) (GO_Biological_Process_2021) || type I interferon signaling pathway (GO:0060337) (GO_Biological_Process_2021)
896        | CD14+ Monocytes (-0.47)   | cellular response to molecule of bacterial origin (GO:0071219) (GO_Biological_Process_2021) || cellular response to lipopolysaccharide (GO:0071222) (GO_Biological_Process_2021) || response to lipopolysaccharide (GO:0032496) (GO_Biological_Process_2021)
2650       | B cells (-0.36)           | ubiquitin conjugating enzyme activity (GO:0061631) (GO_Molecular_Function_2021) || ubiquitin-like protein conjugating enzyme activity (GO:0061650) (GO_Molecular_Function_2021)
5045       | CD4 T cells (0.77)        | regulation of retinoic acid receptor signaling pathway (GO:0048385) (GO_Biological_Process_2021) || positive regulation of NF-kappaB transcription factor activity (GO:0051092) (GO_Biological_Process_2021) || cellular response to steroid hormone stimulus (GO:0071383) (GO_Biological_Process_2021)
356        | FCGR3A+ Monocytes (-0.28) | lysosome (GO:0005764) (GO_Cellular_Component_2021) || lytic vacuole membrane (GO:0098852) (GO_Cellular_Component_2021) || lysosomal membrane (GO:0005765) (GO_Cellular_Component_2021)
3307       | CD4 T cells (0.49)        | MHC class I protein binding (GO:0042288) (GO_Molecular_Function_2021)
1468       | CD4 T cells (0.53)        | response to misfolded protein (GO:0051788) (GO_Biological_Process_2021) || ubiquitin-like protein-specific protease activity (GO:0019783) (GO_Molecular_Function_2021)
2583       | CD14+ Monocytes (-0.33)   | ubiquitin-like protein ligase activity (GO:0061659) (GO_Molecular_Function_2021) || ubiquitin-protein transferase activity (GO:0004842) (GO_Molecular_Function_2021) || ubiquitin protein ligase activity (GO:0061630) (GO_Molecular_Function_2021)
2194       | CD4 T cells (0.51)        | activation of GTPase activity (GO:0090630) (GO_Biological_Process_2021) || transmembrane-ephrin receptor activity (GO:0005005) (GO_Molecular_Function_2021) || ephrin receptor activity (GO:0005003) (GO_Molecular_Function_2021)
3300       | CD14+ Monocytes (0.33)    | WW domain binding (GO:0050699) (GO_Molecular_Function_2021)
445        | CD14+ Monocytes (-0.34)   | ncRNA export from nucleus (GO:0097064) (GO_Biological_Process_2021) || nucleocytoplasmic transport (GO:0006913) (GO_Biological_Process_2021) || regulation of metaphase/anaphase transition of cell cycle (GO:1902099) (GO_Biological_Process_2021)
2245       | CD4 T cells (0.59)        | SH3 domain binding (GO:0017124) (GO_Molecular_Function_2021) || bicellular tight junction assembly (GO:0070830) (GO_Biological_Process_2021) || tight junction assembly (GO:0120192) (GO_Biological_Process_2021)
4454       | B cells (0.50)            | regulation of hemoglobin biosynthetic process (GO:0046984) (GO_Biological_Process_2021)
4014       | B cells (0.36)            | uridine-diphosphatase activity (GO:0045134) (GO_Molecular_Function_2021) || guanosine-diphosphatase activity (GO:0004382) (GO_Molecular_Function_2021) || nucleoside-diphosphatase activity (GO:0017110) (GO_Molecular_Function_2021)
4143       | CD14+ Monocytes (-0.38)   | RNA binding (GO:0003723) (GO_Molecular_Function_2021) || RNA splicing, via transesterification reactions with bulged adenosine as nucleophile (GO:0000377) (GO_Biological_Process_2021) || mRNA splicing, via spliceosome (GO:0000398) (GO_Biological_Process_2021)
372        | CD14+ Monocytes (-0.50)   | CCR1 chemokine receptor binding (GO:0031726) (GO_Molecular_Function_2021) || CCR5 chemokine receptor binding (GO:0031730) (GO_Molecular_Function_2021) || GTP binding (GO:0005525) (GO_Molecular_Function_2021)
4191       | CD4 T cells (0.40)        | regulation of cellular macromolecule biosynthetic process (GO:2000112) (GO_Biological_Process_2021) || regulation of nucleic acid-templated transcription (GO:1903506) (GO_Biological_Process_2021) || CoA carboxylase activity (GO:0016421) (GO_Molecular_Function_2021)
3462       | CD4 T cells (-0.28)       | DNA repair (GO:0006281) (GO_Biological_Process_2021) || double-strand break repair via nonhomologous end joining (GO:0006303) (GO_Biological_Process_2021) || positive regulation of DNA metabolic process (GO:0051054) (GO_Biological_Process_2021)
3857       | CD4 T cells (-0.40)       | G1/S transition of mitotic cell cycle (GO:0000082) (GO_Biological_Process_2021) || ciliary basal body-plasma membrane docking (GO:0097711) (GO_Biological_Process_2021)
4168       | CD4 T cells (0.74)        | cellular response to type I interferon (GO:0071357) (GO_Biological_Process_2021) || type I interferon signaling pathway (GO:0060337) (GO_Biological_Process_2021) || cellular response to interferon-gamma (GO:0071346) (GO_Biological_Process_2021)
3213       | CD14+ Monocytes (-0.54)   | mitochondrial membrane (GO:0031966) (GO_Cellular_Component_2021) || mitochondrial inner membrane (GO:0005743) (GO_Cellular_Component_2021) || organelle inner membrane (GO:0019866) (GO_Cellular_Component_2021)
3120       | CD14+ Monocytes (-0.52)   | purine nucleoside bisphosphate metabolic process (GO:0034032) (GO_Biological_Process_2021) || ribonucleoside bisphosphate metabolic process (GO:0033875) (GO_Biological_Process_2021)
2023       | CD4 T cells (0.48)        | snoRNA binding (GO:0030515) (GO_Molecular_Function_2021) || phosphofructokinase activity (GO:0008443) (GO_Molecular_Function_2021) || U3 snoRNA binding (GO:0034511) (GO_Molecular_Function_2021)
981        | CD4 T cells (0.34)        | transcription coregulator binding (GO:0001221) (GO_Molecular_Function_2021) || nucleus (GO:0005634) (GO_Cellular_Component_2021) || intracellular membrane-bounded organelle (GO:0043231) (GO_Cellular_Component_2021)
1655       | CD4 T cells (0.60)        | organelle envelope lumen (GO:0031970) (GO_Cellular_Component_2021) || protein-cysteine S-palmitoyltransferase activity (GO:0019706) (GO_Molecular_Function_2021) || mRNA binding (GO:0003729) (GO_Molecular_Function_2021)
1682       | NK cells (-0.38)          | ATPase activator activity (GO:0001671) (GO_Molecular_Function_2021) || histone acetyltransferase activity (GO:0004402) (GO_Molecular_Function_2021) || ATPase regulator activity (GO:0060590) (GO_Molecular_Function_2021)
1766       | CD8 T cells (0.19)        | regulation of telomere maintenance (GO:0032204) (GO_Biological_Process_2021) || regulation of protein deacetylation (GO:0090311) (GO_Biological_Process_2021) || positive regulation of chromatin organization (GO:1905269) (GO_Biological_Process_2021)
4123       | NK cells (0.31)           | protein phosphatase 2B binding (GO:0030346) (GO_Molecular_Function_2021) || 1,4-alpha-oligoglucan phosphorylase activity (GO:0004645) (GO_Molecular_Function_2021) || bis(5'-adenosyl)-hexaphosphatase activity (GO:0034431) (GO_Molecular_Function_2021)
3678       | CD4 T cells (0.67)        | DNA-binding transcription activator activity, RNA polymerase II-specific (GO:0001228) (GO_Molecular_Function_2021) || RNA polymerase II cis-regulatory region sequence-specific DNA binding (GO:0000978) (GO_Molecular_Function_2021) || cis-regulatory region sequence-specific DNA binding (GO:0000987) (GO_Molecular_Function_2021)
171        | B cells (-0.30)           | cellular response to DNA damage stimulus (GO:0006974) (GO_Biological_Process_2021)
300        | B cells (0.34)            | oxidative DNA demethylation (GO:0035511) (GO_Biological_Process_2021) || mitochondrial translational elongation (GO:0070125) (GO_Biological_Process_2021) || mitochondrial translational termination (GO:0070126) (GO_Biological_Process_2021)
1020       | CD8 T cells (0.31)        | RNA polymerase II cis-regulatory region sequence-specific DNA binding (GO:0000978) (GO_Molecular_Function_2021) || cis-regulatory region sequence-specific DNA binding (GO:0000987) (GO_Molecular_Function_2021) || DNA-binding transcription activator activity, RNA polymerase II-specific (GO:0001228) (GO_Molecular_Function_2021)
1534       | CD8 T cells (0.39)        | protein acylation (GO:0043543) (GO_Biological_Process_2021) || protein lipidation (GO:0006497) (GO_Biological_Process_2021) || peptidyl-L-cysteine S-palmitoylation (GO:0018230) (GO_Biological_Process_2021)
1645       | CD14+ Monocytes (-0.30)   | dolichol-linked oligosaccharide biosynthetic process (GO:0006488) (GO_Biological_Process_2021) || oligosaccharide-lipid intermediate biosynthetic process (GO:0006490) (GO_Biological_Process_2021) || positive regulation of response to cytokine stimulus (GO:0060760) (GO_Biological_Process_2021)
968        | CD4 T cells (0.49)        | GTPase activator activity (GO:0005096) (GO_Molecular_Function_2021) || regulation of small GTPase mediated signal transduction (GO:0051056) (GO_Biological_Process_2021) || positive regulation of adaptive immune response (GO:0002821) (GO_Biological_Process_2021)
2541       | CD4 T cells (0.40)        | lipase activity (GO:0016298) (GO_Molecular_Function_2021) || phospholipase activity (GO:0004620) (GO_Molecular_Function_2021) || lysophospholipase activity (GO:0004622) (GO_Molecular_Function_2021)
4130       | CD14+ Monocytes (-0.54)   | Golgi trans cisterna (GO:0000138) (GO_Cellular_Component_2021)
4301       | CD4 T cells (0.63)        | tumor necrosis factor binding (GO:0043120) (GO_Molecular_Function_2021) || nuclear inclusion body (GO:0042405) (GO_Cellular_Component_2021) || negative regulation of sphingolipid biosynthetic process (GO:0090155) (GO_Biological_Process_2021)
2439       | CD4 T cells (-0.43)       | mitochondrion-endoplasmic reticulum membrane tethering (GO:1990456) (GO_Biological_Process_2021) || autophagosome membrane docking (GO:0016240) (GO_Biological_Process_2021) || respiratory chain complex I (GO:0045271) (GO_Cellular_Component_2021)
3629       | CD4 T cells (0.44)        | 7SK snRNA binding (GO:0097322) (GO_Molecular_Function_2021) || nucleus (GO:0005634) (GO_Cellular_Component_2021) || intracellular membrane-bounded organelle (GO:0043231) (GO_Cellular_Component_2021)
3835       | NK cells (-0.37)          | tRNA methyltransferase complex (GO:0043527) (GO_Cellular_Component_2021)
112        | CD4 T cells (0.22)        | damaged DNA binding (GO:0003684) (GO_Molecular_Function_2021)
3217       | B cells (-0.15)           | intracellular membrane-bounded organelle (GO:0043231) (GO_Cellular_Component_2021) || nucleus (GO:0005634) (GO_Cellular_Component_2021) || ATPase activator activity (GO:0001671) (GO_Molecular_Function_2021)
2976       | CD8 T cells (0.35)        | 5'-3' exonuclease activity (GO:0008409) (GO_Molecular_Function_2021) || RNA binding (GO:0003723) (GO_Molecular_Function_2021) || exonuclease activity (GO:0004527) (GO_Molecular_Function_2021)
350        | CD4 T cells (0.54)        | RNA binding (GO:0003723) (GO_Molecular_Function_2021) || nucleus (GO:0005634) (GO_Cellular_Component_2021) || intracellular membrane-bounded organelle (GO:0043231) (GO_Cellular_Component_2021)
4582       | FCGR3A+ Monocytes (0.35)  | aerobic electron transport chain (GO:0019646) (GO_Biological_Process_2021) || mitochondrial ATP synthesis coupled electron transport (GO:0042775) (GO_Biological_Process_2021) || oxidoreduction-driven active transmembrane transporter activity (GO:0015453) (GO_Molecular_Function_2021)
509        | CD4 T cells (0.56)        | organelle assembly (GO:0070925) (GO_Biological_Process_2021) || NADH dehydrogenase (quinone) activity (GO:0050136) (GO_Molecular_Function_2021) || NADH dehydrogenase (ubiquinone) activity (GO:0008137) (GO_Molecular_Function_2021)
44         | NK cells (-0.20)          | low-density lipoprotein particle receptor binding (GO:0050750) (GO_Molecular_Function_2021) || lipoprotein particle receptor binding (GO:0070325) (GO_Molecular_Function_2021) || double-stranded methylated DNA binding (GO:0010385) (GO_Molecular_Function_2021)
992        | CD14+ Monocytes (-0.47)   | response to UV (GO:0009411) (GO_Biological_Process_2021) || chromatin remodeling (GO:0006338) (GO_Biological_Process_2021) || response to light stimulus (GO:0009416) (GO_Biological_Process_2021)
1067       | FCGR3A+ Monocytes (-0.26) | exoribonuclease activity (GO:0004532) (GO_Molecular_Function_2021) || RNA binding (GO:0003723) (GO_Molecular_Function_2021)
3877       | FCGR3A+ Monocytes (-0.30) | transition metal ion binding (GO:0046914) (GO_Molecular_Function_2021) || Cdc73/Paf1 complex (GO:0016593) (GO_Cellular_Component_2021) || organelle inner membrane (GO:0019866) (GO_Cellular_Component_2021)
3726       | NK cells (-0.39)          | glycosylceramide metabolic process (GO:0006677) (GO_Biological_Process_2021) || protein polyubiquitination (GO:0000209) (GO_Biological_Process_2021)
1544       | B cells (-0.54)           | cellular response to interferon-gamma (GO:0071346) (GO_Biological_Process_2021) || response to interferon-gamma (GO:0034341) (GO_Biological_Process_2021) || GTP binding (GO:0005525) (GO_Molecular_Function_2021)
2696       | CD4 T cells (0.59)        | regulation of protein localization to cell surface (GO:2000008) (GO_Biological_Process_2021) || negative regulation of protein localization to cell surface (GO:2000009) (GO_Biological_Process_2021) || positive regulation of glycoprotein biosynthetic process (GO:0010560) (GO_Biological_Process_2021)
3385       | B cells (0.42)            | C-C chemokine receptor activity (GO:0016493) (GO_Molecular_Function_2021) || C-C chemokine binding (GO:0019957) (GO_Molecular_Function_2021) || chemokine receptor activity (GO:0004950) (GO_Molecular_Function_2021)
4059       | NK cells (-0.29)          | ubiquitin-protein transferase activity (GO:0004842) (GO_Molecular_Function_2021)
2644       | CD4 T cells (0.70)        | aromatic amino acid transmembrane transporter activity (GO:0015173) (GO_Molecular_Function_2021) || L-leucine transmembrane transporter activity (GO:0015190) (GO_Molecular_Function_2021) || neutral amino acid transmembrane transporter activity (GO:0015175) (GO_Molecular_Function_2021)
2158       | NK cells (0.24)           | UDP-N-acetylglucosamine biosynthetic process (GO:0006048) (GO_Biological_Process_2021) || amino sugar biosynthetic process (GO:0046349) (GO_Biological_Process_2021) || UDP-N-acetylglucosamine metabolic process (GO:0006047) (GO_Biological_Process_2021)
1786       | CD14+ Monocytes (-0.53)   | RNA polymerase II cis-regulatory region sequence-specific DNA binding (GO:0000978) (GO_Molecular_Function_2021) || cis-regulatory region sequence-specific DNA binding (GO:0000987) (GO_Molecular_Function_2021) || sequence-specific DNA binding (GO:0043565) (GO_Molecular_Function_2021)
2483       | NK cells (-0.23)          | preribosome, small subunit precursor (GO:0030688) (GO_Cellular_Component_2021) || Ada2/Gcn5/Ada3 transcription activator complex (GO:0005671) (GO_Cellular_Component_2021) || nucleolus (GO:0005730) (GO_Cellular_Component_2021)
2571       | CD14+ Monocytes (0.46)    | focal adhesion (GO:0005925) (GO_Cellular_Component_2021) || cell-substrate junction (GO:0030055) (GO_Cellular_Component_2021) || ankyrin binding (GO:0030506) (GO_Molecular_Function_2021)
3020       | CD14+ Monocytes (0.52)    | protein kinase B binding (GO:0043422) (GO_Molecular_Function_2021) || CD40 receptor complex (GO:0035631) (GO_Cellular_Component_2021)
1788       | FCGR3A+ Monocytes (-0.24) | FMN binding (GO:0010181) (GO_Molecular_Function_2021) || regulation of lymphocyte migration (GO:2000401) (GO_Biological_Process_2021) || negative regulation of cell cycle process (GO:0010948) (GO_Biological_Process_2021)
1241       | CD4 T cells (0.64)        | ficolin-1-rich granule (GO:0101002) (GO_Cellular_Component_2021) || thiamine-containing compound metabolic process (GO:0042723) (GO_Biological_Process_2021) || ficolin-1-rich granule lumen (GO:1904813) (GO_Cellular_Component_2021)
1401       | NK cells (-0.34)          | inositol phosphate dephosphorylation (GO:0046855) (GO_Biological_Process_2021) || phosphorylated carbohydrate dephosphorylation (GO:0046838) (GO_Biological_Process_2021) || inositol phosphate catabolic process (GO:0071545) (GO_Biological_Process_2021)
3945       | CD4 T cells (0.58)        | ribosome biogenesis (GO:0042254) (GO_Biological_Process_2021) || small-subunit processome (GO:0032040) (GO_Cellular_Component_2021)
2268       | CD4 T cells (-0.70)       | regulation of transcription by RNA polymerase II (GO:0006357) (GO_Biological_Process_2021) || positive regulation of miRNA mediated inhibition of translation (GO:1905618) (GO_Biological_Process_2021) || regulation of miRNA mediated inhibition of translation (GO:1905616) (GO_Biological_Process_2021)
974        | CD14+ Monocytes (-0.30)   | protein homodimerization activity (GO:0042803) (GO_Molecular_Function_2021) || MAPK cascade (GO:0000165) (GO_Biological_Process_2021) || positive regulation of intracellular signal transduction (GO:1902533) (GO_Biological_Process_2021)
3308       | CD4 T cells (0.28)        | regulation of substrate adhesion-dependent cell spreading (GO:1900024) (GO_Biological_Process_2021) || regulation of cell migration (GO:0030334) (GO_Biological_Process_2021) || peroxisome proliferator activated receptor signaling pathway (GO:0035357) (GO_Biological_Process_2021)
2019       | CD14+ Monocytes (0.37)    | U6 snRNP (GO:0005688) (GO_Cellular_Component_2021) || U2-type precatalytic spliceosome (GO:0071005) (GO_Cellular_Component_2021) || precatalytic spliceosome (GO:0071011) (GO_Cellular_Component_2021)
3389       | CD4 T cells (0.35)        | phosphatidylinositol-3,5-bisphosphate 3-phosphatase activity (GO:0052629) (GO_Molecular_Function_2021) || phosphatidylinositol-3,5-bisphosphate phosphatase activity (GO:0106018) (GO_Molecular_Function_2021) || histone demethylase activity (H3-K4 specific) (GO:0032453) (GO_Molecular_Function_2021)
1109       | CD4 T cells (0.41)        | ubiquitin protein ligase activity (GO:0061630) (GO_Molecular_Function_2021) || ubiquitin-like protein ligase activity (GO:0061659) (GO_Molecular_Function_2021) || guanyl-nucleotide exchange factor activity (GO:0005085) (GO_Molecular_Function_2021)
4525       | CD4 T cells (0.55)        | mitochondrion disassembly (GO:0061726) (GO_Biological_Process_2021) || autophagy of mitochondrion (GO:0000422) (GO_Biological_Process_2021) || macroautophagy (GO:0016236) (GO_Biological_Process_2021)
1105       | B cells (0.33)            | prespliceosome (GO:0071010) (GO_Cellular_Component_2021) || U2-type prespliceosome (GO:0071004) (GO_Cellular_Component_2021) || MLL1 complex (GO:0071339) (GO_Cellular_Component_2021)
4799       | NK cells (-0.25)          | mitochondrial outer membrane (GO:0005741) (GO_Cellular_Component_2021) || organelle outer membrane (GO:0031968) (GO_Cellular_Component_2021)
2732       | CD14+ Monocytes (-0.48)   | cholesterol biosynthetic process (GO:0006695) (GO_Biological_Process_2021) || sterol biosynthetic process (GO:0016126) (GO_Biological_Process_2021) || secondary alcohol biosynthetic process (GO:1902653) (GO_Biological_Process_2021)
2980       | CD14+ Monocytes (-0.45)   | protein targeting to peroxisome (GO:0006625) (GO_Biological_Process_2021)
2221       | NK cells (0.33)           | WW domain binding (GO:0050699) (GO_Molecular_Function_2021) || mRNA 3'-end processing (GO:0031124) (GO_Biological_Process_2021) || termination of RNA polymerase II transcription (GO:0006369) (GO_Biological_Process_2021)
4548       | CD14+ Monocytes (-0.56)   | intracellular membrane-bounded organelle (GO:0043231) (GO_Cellular_Component_2021) || RNA polymerase II transcription regulatory region sequence-specific DNA binding (GO:0000977) (GO_Molecular_Function_2021) || RNA polymerase II cis-regulatory region sequence-specific DNA binding (GO:0000978) (GO_Molecular_Function_2021)
3935       | CD4 T cells (-0.37)       | negative regulation of double-strand break repair (GO:2000780) (GO_Biological_Process_2021) || negative regulation of double-strand break repair via nonhomologous end joining (GO:2001033) (GO_Biological_Process_2021) || negative regulation of protein binding (GO:0032091) (GO_Biological_Process_2021)
1507       | B cells (0.25)            | RNA binding (GO:0003723) (GO_Molecular_Function_2021) || nucleus (GO:0005634) (GO_Cellular_Component_2021) || intracellular membrane-bounded organelle (GO:0043231) (GO_Cellular_Component_2021)
4103       | CD14+ Monocytes (-0.41)   | histone-lysine N-methyltransferase activity (GO:0018024) (GO_Molecular_Function_2021) || peptidyl-lysine trimethylation (GO:0018023) (GO_Biological_Process_2021) || histone methyltransferase activity (H3-K4 specific) (GO:0042800) (GO_Molecular_Function_2021)
115        | CD4 T cells (-0.25)       | early endosome membrane (GO:0031901) (GO_Cellular_Component_2021)
4304       | CD14+ Monocytes (0.35)    | RNA binding (GO:0003723) (GO_Molecular_Function_2021) || nuclear lumen (GO:0031981) (GO_Cellular_Component_2021) || chromosome (GO:0005694) (GO_Cellular_Component_2021)
3503       | CD4 T cells (0.59)        | cellular response to hydroxyurea (GO:0072711) (GO_Biological_Process_2021) || response to hydroxyurea (GO:0072710) (GO_Biological_Process_2021) || regulation of lipid kinase activity (GO:0043550) (GO_Biological_Process_2021)
972        | B cells (0.20)            | ribose phosphate diphosphokinase activity (GO:0004749) (GO_Molecular_Function_2021) || diphosphotransferase activity (GO:0016778) (GO_Molecular_Function_2021) || ribose phosphate diphosphokinase complex (GO:0002189) (GO_Cellular_Component_2021)
2747       | B cells (0.27)            | protein targeting to mitochondrion (GO:0006626) (GO_Biological_Process_2021)
481        | CD4 T cells (0.51)        | MHC class I receptor activity (GO:0032393) (GO_Molecular_Function_2021) || sulfurtransferase activity (GO:0016783) (GO_Molecular_Function_2021) || ATPase activity, coupled to transmembrane movement of ions, rotational mechanism (GO:0044769) (GO_Molecular_Function_2021)
5017       | CD4 T cells (0.46)        | aerobic electron transport chain (GO:0019646) (GO_Biological_Process_2021) || mitochondrial ATP synthesis coupled electron transport (GO:0042775) (GO_Biological_Process_2021) || mitochondrial membrane (GO:0031966) (GO_Cellular_Component_2021)
3767       | CD8 T cells (0.21)        | coated vesicle membrane (GO:0030662) (GO_Cellular_Component_2021) || MHC class II protein complex (GO:0042613) (GO_Cellular_Component_2021) || clathrin-coated vesicle membrane (GO:0030665) (GO_Cellular_Component_2021)
4022       | B cells (0.31)            | RNA binding (GO:0003723) (GO_Molecular_Function_2021) || mRNA splicing, via spliceosome (GO:0000398) (GO_Biological_Process_2021) || RNA splicing, via transesterification reactions with bulged adenosine as nucleophile (GO:0000377) (GO_Biological_Process_2021)
1380       | CD4 T cells (0.66)        | cellular response to cytokine stimulus (GO:0071345) (GO_Biological_Process_2021) || antigen receptor-mediated signaling pathway (GO:0050851) (GO_Biological_Process_2021) || 1-phosphatidylinositol-3-kinase regulator activity (GO:0046935) (GO_Molecular_Function_2021)
1121       | CD14+ Monocytes (-0.40)   | negative regulation of neurotransmitter secretion (GO:0046929) (GO_Biological_Process_2021) || GTPase activator activity (GO:0005096) (GO_Molecular_Function_2021) || guanyl-nucleotide exchange factor activity (GO:0005085) (GO_Molecular_Function_2021)
1604       | CD4 T cells (0.42)        | histone methyltransferase activity (GO:0042054) (GO_Molecular_Function_2021) || protein-arginine omega-N monomethyltransferase activity (GO:0035241) (GO_Molecular_Function_2021) || acid phosphatase activity (GO:0003993) (GO_Molecular_Function_2021)
1542       | CD4 T cells (0.55)        | MHC class I protein complex binding (GO:0023024) (GO_Molecular_Function_2021) || ruffle organization (GO:0031529) (GO_Biological_Process_2021)
3015       | CD4 T cells (0.41)        | cysteine-type endopeptidase activity involved in apoptotic signaling pathway (GO:0097199) (GO_Molecular_Function_2021) || cysteine-type endopeptidase activity involved in execution phase of apoptosis (GO:0097200) (GO_Molecular_Function_2021) || cysteine-type endopeptidase activity involved in apoptotic process (GO:0097153) (GO_Molecular_Function_2021)
3814       | NK cells (-0.38)          | platelet alpha granule (GO:0031091) (GO_Cellular_Component_2021) || procollagen-proline 4-dioxygenase activity (GO:0004656) (GO_Molecular_Function_2021) || procollagen-proline dioxygenase activity (GO:0019798) (GO_Molecular_Function_2021)
4073       | CD14+ Monocytes (0.33)    | endoplasmic reticulum membrane (GO:0005789) (GO_Cellular_Component_2021) || 90S preribosome (GO:0030686) (GO_Cellular_Component_2021) || integral component of Golgi membrane (GO:0030173) (GO_Cellular_Component_2021)
3124       | B cells (-0.38)           | cytoplasmic translation (GO:0002181) (GO_Biological_Process_2021) || SRP-dependent cotranslational protein targeting to membrane (GO:0006614) (GO_Biological_Process_2021) || cotranslational protein targeting to membrane (GO:0006613) (GO_Biological_Process_2021)
2085       | FCGR3A+ Monocytes (-0.33) | specific granule membrane (GO:0035579) (GO_Cellular_Component_2021) || actin binding (GO:0003779) (GO_Molecular_Function_2021) || phosphotyrosine residue binding (GO:0001784) (GO_Molecular_Function_2021)
3552       | B cells (-0.32)           | RNA binding (GO:0003723) (GO_Molecular_Function_2021) || proton-transporting V-type ATPase, V1 domain (GO:0033180) (GO_Cellular_Component_2021) || ESC/E(Z) complex (GO:0035098) (GO_Cellular_Component_2021)
2379       | CD4 T cells (0.48)        | aerobic electron transport chain (GO:0019646) (GO_Biological_Process_2021) || mitochondrial ATP synthesis coupled electron transport (GO:0042775) (GO_Biological_Process_2021) || mitochondrial inner membrane (GO:0005743) (GO_Cellular_Component_2021)
1650       | CD4 T cells (-0.37)       | protein transport (GO:0015031) (GO_Biological_Process_2021) || autophagosome maturation (GO:0097352) (GO_Biological_Process_2021) || organelle assembly (GO:0070925) (GO_Biological_Process_2021)
1419       | CD14+ Monocytes (-0.51)   | ribosome (GO:0005840) (GO_Cellular_Component_2021) || anchored component of external side of plasma membrane (GO:0031362) (GO_Cellular_Component_2021) || intrinsic component of external side of plasma membrane (GO:0031233) (GO_Cellular_Component_2021)
5037       | CD4 T cells (0.61)        | regulation of gene expression (GO:0010468) (GO_Biological_Process_2021) || positive regulation of interleukin-17 production (GO:0032740) (GO_Biological_Process_2021) || vesicle (GO:0031982) (GO_Cellular_Component_2021)
4438       | NK cells (-0.33)          | RNA polymerase II transcription regulatory region sequence-specific DNA binding (GO:0000977) (GO_Molecular_Function_2021) || RNA polymerase II cis-regulatory region sequence-specific DNA binding (GO:0000978) (GO_Molecular_Function_2021) || cis-regulatory region sequence-specific DNA binding (GO:0000987) (GO_Molecular_Function_2021)
2550       | FCGR3A+ Monocytes (-0.31) | mRNA processing (GO:0006397) (GO_Biological_Process_2021) || RNA binding (GO:0003723) (GO_Molecular_Function_2021) || RNA splicing, via transesterification reactions with bulged adenosine as nucleophile (GO:0000377) (GO_Biological_Process_2021)
2903       | B cells (-0.42)           | adiponectin-activated signaling pathway (GO:0033211) (GO_Biological_Process_2021) || aminophospholipid transport (GO:0015917) (GO_Biological_Process_2021) || positive regulation of hydrolase activity (GO:0051345) (GO_Biological_Process_2021)
3941       | NK cells (0.27)           | peptidase activator activity involved in apoptotic process (GO:0016505) (GO_Molecular_Function_2021) || tau-protein kinase activity (GO:0050321) (GO_Molecular_Function_2021)
139        | CD14+ Monocytes (-0.60)   | kinetochore assembly (GO:0051382) (GO_Biological_Process_2021) || kinetochore organization (GO:0051383) (GO_Biological_Process_2021) || protein localization to cell surface (GO:0034394) (GO_Biological_Process_2021)
1070       | CD4 T cells (0.64)        | phosphatidylinositol kinase activity (GO:0052742) (GO_Molecular_Function_2021) || T cell chemotaxis (GO:0010818) (GO_Biological_Process_2021) || response to chemokine (GO:1990868) (GO_Biological_Process_2021)
3614       | B cells (-0.45)           | mitochondrial membrane (GO:0031966) (GO_Cellular_Component_2021) || mitochondrial inner membrane (GO:0005743) (GO_Cellular_Component_2021) || organelle inner membrane (GO:0019866) (GO_Cellular_Component_2021)
