Analyzing: Layer 12, 8x expansion (K=32)
Directory: /biodata/nyanovsky/datasets/pbmc3k/layer_12/sae_k_32_5120/interpretations_filter_zero_expressed

Feature    | Top Cell Type (r)         | Top Significant GO Terms
1330       | CD8 T cells (0.27)        | early endosome to late endosome transport (GO:0045022) (GO_Biological_Process_2021) || cytosolic transport (GO:0016482) (GO_Biological_Process_2021) || cellular protein localization (GO:0034613) (GO_Biological_Process_2021)
38         | NK cells (-0.32)          | double-strand break repair (GO:0006302) (GO_Biological_Process_2021) || double-strand break repair via nonhomologous end joining (GO:0006303) (GO_Biological_Process_2021) || DNA-directed DNA polymerase activity (GO:0003887) (GO_Molecular_Function_2021)
296        | B cells (-0.34)           | phosphatidylinositol bisphosphate binding (GO:1902936) (GO_Molecular_Function_2021) || ficolin-1-rich granule lumen (GO:1904813) (GO_Cellular_Component_2021) || tertiary granule lumen (GO:1904724) (GO_Cellular_Component_2021)
2674       | CD14+ Monocytes (-0.59)   | L-alanine transmembrane transporter activity (GO:0015180) (GO_Molecular_Function_2021) || alanine transmembrane transporter activity (GO:0022858) (GO_Molecular_Function_2021) || positive regulation of transcription from RNA polymerase II promoter in response to hypoxia (GO:0061419) (GO_Biological_Process_2021)
411        | CD14+ Monocytes (0.47)    | ubiquitin-protein transferase activator activity (GO:0097027) (GO_Molecular_Function_2021) || ubiquitin protein ligase binding (GO:0031625) (GO_Molecular_Function_2021) || ubiquitin-like protein ligase binding (GO:0044389) (GO_Molecular_Function_2021)
3171       | CD4 T cells (0.74)        | cortical actin cytoskeleton (GO:0030864) (GO_Cellular_Component_2021) || cortical cytoskeleton (GO:0030863) (GO_Cellular_Component_2021) || caveola (GO:0005901) (GO_Cellular_Component_2021)
793        | CD14+ Monocytes (-0.46)   | coated vesicle membrane (GO:0030662) (GO_Cellular_Component_2021) || endoplasmic reticulum membrane (GO:0005789) (GO_Cellular_Component_2021) || endoplasmic reticulum to Golgi vesicle-mediated transport (GO:0006888) (GO_Biological_Process_2021)
1262       | FCGR3A+ Monocytes (-0.35) | mitochondrial translational elongation (GO:0070125) (GO_Biological_Process_2021) || translational elongation (GO:0006414) (GO_Biological_Process_2021) || mitochondrial translation (GO:0032543) (GO_Biological_Process_2021)
1133       | NK cells (0.25)           | transcription factor TFIID complex (GO:0005669) (GO_Cellular_Component_2021) || transcription factor TFIIH core complex (GO:0000439) (GO_Cellular_Component_2021) || transcription factor TFIIH holo complex (GO:0005675) (GO_Cellular_Component_2021)
4874       | CD4 T cells (0.49)        | ubiquitin-dependent protein catabolic process (GO:0006511) (GO_Biological_Process_2021) || ammonia-lyase activity (GO:0016841) (GO_Molecular_Function_2021) || proteasomal protein catabolic process (GO:0010498) (GO_Biological_Process_2021)
4520       | CD14+ Monocytes (0.59)    | methylation-dependent protein binding (GO:0140034) (GO_Molecular_Function_2021) || methylated histone binding (GO:0035064) (GO_Molecular_Function_2021)
4737       | CD14+ Monocytes (0.38)    | tRNA methyltransferase complex (GO:0043527) (GO_Cellular_Component_2021) || multivesicular body membrane (GO:0032585) (GO_Cellular_Component_2021) || nucleolus (GO:0005730) (GO_Cellular_Component_2021)
4929       | FCGR3A+ Monocytes (-0.36) | endoplasmic reticulum to Golgi vesicle-mediated transport (GO:0006888) (GO_Biological_Process_2021) || regulation of mitotic cell cycle phase transition (GO:1901990) (GO_Biological_Process_2021) || establishment of Golgi localization (GO:0051683) (GO_Biological_Process_2021)
4428       | CD14+ Monocytes (-0.40)   | positive regulation of gene expression, epigenetic (GO:0045815) (GO_Biological_Process_2021) || regulation of chaperone-mediated protein folding (GO:1903644) (GO_Biological_Process_2021) || protein localization to perinuclear region of cytoplasm (GO:1905719) (GO_Biological_Process_2021)
3          | B cells (-0.37)           | positive regulation of attachment of spindle microtubules to kinetochore (GO:0051987) (GO_Biological_Process_2021) || post-Golgi vesicle-mediated transport (GO:0006892) (GO_Biological_Process_2021)
3004       | CD14+ Monocytes (0.27)    | autolysosome (GO:0044754) (GO_Cellular_Component_2021) || secondary lysosome (GO:0005767) (GO_Cellular_Component_2021) || regulation of I-kappaB kinase/NF-kappaB signaling (GO:0043122) (GO_Biological_Process_2021)
1474       | CD4 T cells (0.49)        | MyD88-dependent toll-like receptor signaling pathway (GO:0002755) (GO_Biological_Process_2021)
1305       | CD4 T cells (-0.53)       | palmitoyl-CoA hydrolase activity (GO:0016290) (GO_Molecular_Function_2021) || GPI anchor binding (GO:0034235) (GO_Molecular_Function_2021) || 1-alkyl-2-acetylglycerophosphocholine esterase activity (GO:0003847) (GO_Molecular_Function_2021)
4420       | NK cells (-0.28)          | regulation of mRNA catabolic process (GO:0061013) (GO_Biological_Process_2021) || regulation of mRNA stability (GO:0043488) (GO_Biological_Process_2021) || UDP-N-acetylglucosamine transmembrane transporter activity (GO:0005462) (GO_Molecular_Function_2021)
3820       | CD4 T cells (0.43)        | retrograde transport, endosome to Golgi (GO:0042147) (GO_Biological_Process_2021) || kinetochore assembly (GO:0051382) (GO_Biological_Process_2021) || regulation of mitochondrial fusion (GO:0010635) (GO_Biological_Process_2021)
2038       | CD8 T cells (-0.29)       | oxidoreductase activity, acting on a sulfur group of donors, disulfide as acceptor (GO:0016671) (GO_Molecular_Function_2021) || alpha-N-acetylgalactosaminide alpha-2,6-sialyltransferase activity (GO:0001665) (GO_Molecular_Function_2021) || ferroxidase activity (GO:0004322) (GO_Molecular_Function_2021)
4723       | CD4 T cells (0.41)        | cellular zinc ion homeostasis (GO:0006882) (GO_Biological_Process_2021) || zinc ion homeostasis (GO:0055069) (GO_Biological_Process_2021) || cellular divalent inorganic cation homeostasis (GO:0072503) (GO_Biological_Process_2021)
92         | CD4 T cells (0.64)        | mitochondrial matrix (GO:0005759) (GO_Cellular_Component_2021)
2039       | CD4 T cells (0.69)        | kinase activity (GO:0016301) (GO_Molecular_Function_2021) || phosphotransferase activity, nitrogenous group as acceptor (GO:0016775) (GO_Molecular_Function_2021) || creatine kinase activity (GO:0004111) (GO_Molecular_Function_2021)
3693       | CD4 T cells (0.30)        | endoribonuclease activity, producing 3'-phosphomonoesters (GO:0016892) (GO_Molecular_Function_2021) || alpha-mannosidase activity (GO:0004559) (GO_Molecular_Function_2021) || mannosidase activity (GO:0015923) (GO_Molecular_Function_2021)
3066       | CD8 T cells (-0.14)       | RNA binding (GO:0003723) (GO_Molecular_Function_2021) || nuclear-transcribed mRNA catabolic process, nonsense-mediated decay (GO:0000184) (GO_Biological_Process_2021) || cytosolic large ribosomal subunit (GO:0022625) (GO_Cellular_Component_2021)
4035       | NK cells (-0.37)          | deoxycytidine deaminase activity (GO:0047844) (GO_Molecular_Function_2021) || cytidine deaminase activity (GO:0004126) (GO_Molecular_Function_2021) || hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in cyclic amidines (GO:0016814) (GO_Molecular_Function_2021)
966        | CD4 T cells (0.49)        | cysteine-type endopeptidase inhibitor activity (GO:0004869) (GO_Molecular_Function_2021) || intracellular membrane-bounded organelle (GO:0043231) (GO_Cellular_Component_2021) || cytoplasmic vesicle lumen (GO:0060205) (GO_Cellular_Component_2021)
3338       | CD4 T cells (0.60)        | intracellular membrane-bounded organelle (GO:0043231) (GO_Cellular_Component_2021) || nucleus (GO:0005634) (GO_Cellular_Component_2021) || focal adhesion (GO:0005925) (GO_Cellular_Component_2021)
4508       | CD4 T cells (0.72)        | alpha-beta T cell receptor complex (GO:0042105) (GO_Cellular_Component_2021) || T cell activation (GO:0042110) (GO_Biological_Process_2021) || T cell receptor complex (GO:0042101) (GO_Cellular_Component_2021)
1758       | B cells (-0.28)           | protein insertion into mitochondrial inner membrane (GO:0045039) (GO_Biological_Process_2021) || protein insertion into mitochondrial membrane (GO:0051204) (GO_Biological_Process_2021) || transition metal ion binding (GO:0046914) (GO_Molecular_Function_2021)
1628       | CD14+ Monocytes (0.42)    | regulation of transcription, DNA-templated (GO:0006355) (GO_Biological_Process_2021) || RNA polymerase II cis-regulatory region sequence-specific DNA binding (GO:0000978) (GO_Molecular_Function_2021) || cis-regulatory region sequence-specific DNA binding (GO:0000987) (GO_Molecular_Function_2021)
2096       | CD14+ Monocytes (0.43)    | nucleus (GO:0005634) (GO_Cellular_Component_2021) || Sin3 complex (GO:0016580) (GO_Cellular_Component_2021) || intrinsic component of nuclear inner membrane (GO:0031229) (GO_Cellular_Component_2021)
1475       | CD4 T cells (0.59)        | microbody lumen (GO:0031907) (GO_Cellular_Component_2021) || peroxisomal matrix (GO:0005782) (GO_Cellular_Component_2021) || RNA polymerase II cis-regulatory region sequence-specific DNA binding (GO:0000978) (GO_Molecular_Function_2021)
2547       | B cells (0.35)            | prostaglandin receptor activity (GO:0004955) (GO_Molecular_Function_2021)
4280       | CD14+ Monocytes (-0.61)   | GTPase binding (GO:0051020) (GO_Molecular_Function_2021) || tau-protein kinase activity (GO:0050321) (GO_Molecular_Function_2021) || NADP binding (GO:0050661) (GO_Molecular_Function_2021)
146        | CD14+ Monocytes (0.48)    | microvillus organization (GO:0032528) (GO_Biological_Process_2021) || microvillus assembly (GO:0030033) (GO_Biological_Process_2021) || positive regulation of protein autophosphorylation (GO:0031954) (GO_Biological_Process_2021)
1058       | CD4 T cells (0.71)        | negative regulation of TOR signaling (GO:0032007) (GO_Biological_Process_2021) || neuron migration (GO:0001764) (GO_Biological_Process_2021) || negative regulation of apoptotic signaling pathway (GO:2001234) (GO_Biological_Process_2021)
3302       | CD4 T cells (0.67)        | lysosomal membrane (GO:0005765) (GO_Cellular_Component_2021) || thyroid hormone receptor binding (GO:0046966) (GO_Molecular_Function_2021) || manganese ion binding (GO:0030145) (GO_Molecular_Function_2021)
4020       | NK cells (-0.37)          | regulation of hemopoiesis (GO:1903706) (GO_Biological_Process_2021) || tRNA splicing, via endonucleolytic cleavage and ligation (GO:0006388) (GO_Biological_Process_2021) || RNA splicing, via endonucleolytic cleavage and ligation (GO:0000394) (GO_Biological_Process_2021)
3404       | CD14+ Monocytes (0.51)    | U3 snoRNA binding (GO:0034511) (GO_Molecular_Function_2021) || purine ribonucleotide transmembrane transporter activity (GO:0005346) (GO_Molecular_Function_2021) || adenine nucleotide transmembrane transporter activity (GO:0000295) (GO_Molecular_Function_2021)
1440       | CD14+ Monocytes (0.30)    | intracellular sterol transport (GO:0032366) (GO_Biological_Process_2021) || intracellular cholesterol transport (GO:0032367) (GO_Biological_Process_2021) || cholesterol transport (GO:0030301) (GO_Biological_Process_2021)
1041       | CD14+ Monocytes (-0.36)   | protein localization to Golgi apparatus (GO:0034067) (GO_Biological_Process_2021) || trans-Golgi network (GO:0005802) (GO_Cellular_Component_2021) || trans-Golgi network membrane (GO:0032588) (GO_Cellular_Component_2021)
257        | FCGR3A+ Monocytes (0.30)  | platelet degranulation (GO:0002576) (GO_Biological_Process_2021) || regulated exocytosis (GO:0045055) (GO_Biological_Process_2021) || platelet alpha granule (GO:0031091) (GO_Cellular_Component_2021)
2210       | CD4 T cells (0.58)        | lytic vacuole (GO:0000323) (GO_Cellular_Component_2021) || lysosome (GO:0005764) (GO_Cellular_Component_2021) || aminophospholipid transport (GO:0015917) (GO_Biological_Process_2021)
2986       | CD14+ Monocytes (0.61)    | T cell receptor complex (GO:0042101) (GO_Cellular_Component_2021) || T cell activation (GO:0042110) (GO_Biological_Process_2021) || regulation of immune response (GO:0050776) (GO_Biological_Process_2021)
2593       | CD4 T cells (0.38)        | antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent (GO:0002479) (GO_Biological_Process_2021) || antigen processing and presentation of exogenous peptide antigen via MHC class I (GO:0042590) (GO_Biological_Process_2021) || anaphase-promoting complex-dependent catabolic process (GO:0031145) (GO_Biological_Process_2021)
5040       | FCGR3A+ Monocytes (-0.26) | hexose metabolic process (GO:0019318) (GO_Biological_Process_2021) || gluconeogenesis (GO:0006094) (GO_Biological_Process_2021) || hexose biosynthetic process (GO:0019319) (GO_Biological_Process_2021)
4986       | CD14+ Monocytes (-0.58)   | glycerol channel activity (GO:0015254) (GO_Molecular_Function_2021) || urea transmembrane transporter activity (GO:0015204) (GO_Molecular_Function_2021) || extracellularly ATP-gated cation channel activity (GO:0004931) (GO_Molecular_Function_2021)
985        | B cells (0.32)            | C-X-C chemokine binding (GO:0019958) (GO_Molecular_Function_2021) || supercoiled DNA binding (GO:0097100) (GO_Molecular_Function_2021) || bubble DNA binding (GO:0000405) (GO_Molecular_Function_2021)
5000       | CD4 T cells (0.73)        | cellular protein localization (GO:0034613) (GO_Biological_Process_2021) || intracellular protein transport (GO:0006886) (GO_Biological_Process_2021)
3671       | CD4 T cells (0.34)        | lysosome (GO:0005764) (GO_Cellular_Component_2021) || mitochondrial envelope (GO:0005740) (GO_Cellular_Component_2021) || Set1C/COMPASS complex (GO:0048188) (GO_Cellular_Component_2021)
2503       | CD14+ Monocytes (-0.48)   | interleukin-17 receptor activity (GO:0030368) (GO_Molecular_Function_2021) || DNA N-glycosylase activity (GO:0019104) (GO_Molecular_Function_2021) || intramolecular oxidoreductase activity, interconverting aldoses and ketoses (GO:0016861) (GO_Molecular_Function_2021)
919        | CD4 T cells (0.54)        | lysosome (GO:0005764) (GO_Cellular_Component_2021) || lytic vacuole (GO:0000323) (GO_Cellular_Component_2021) || autophagosome (GO:0005776) (GO_Cellular_Component_2021)
4517       | B cells (-0.31)           | Golgi membrane (GO:0000139) (GO_Cellular_Component_2021) || SAGA-type complex (GO:0070461) (GO_Cellular_Component_2021)
3436       | CD14+ Monocytes (-0.59)   | cellular response to cytokine stimulus (GO:0071345) (GO_Biological_Process_2021)
3002       | CD14+ Monocytes (-0.29)   | cilium assembly (GO:0060271) (GO_Biological_Process_2021) || non-motile cilium assembly (GO:1905515) (GO_Biological_Process_2021) || protein localization to ciliary transition zone (GO:1904491) (GO_Biological_Process_2021)
1698       | CD14+ Monocytes (-0.59)   | thiolester hydrolase activity (GO:0016790) (GO_Molecular_Function_2021) || NAADP-sensitive calcium-release channel activity (GO:0072345) (GO_Molecular_Function_2021) || metalloendopeptidase inhibitor activity (GO:0008191) (GO_Molecular_Function_2021)
3826       | CD8 T cells (-0.14)       | tRNA methyltransferase complex (GO:0043527) (GO_Cellular_Component_2021) || core mediator complex (GO:0070847) (GO_Cellular_Component_2021) || one-carbon compound transport (GO:0019755) (GO_Biological_Process_2021)
2104       | CD4 T cells (0.54)        | cellular response to hydrogen peroxide (GO:0070301) (GO_Biological_Process_2021) || response to hydrogen peroxide (GO:0042542) (GO_Biological_Process_2021) || cellular response to reactive oxygen species (GO:0034614) (GO_Biological_Process_2021)
1120       | B cells (-0.37)           | histone methyltransferase activity (H3-K4 specific) (GO:0042800) (GO_Molecular_Function_2021)
2766       | CD4 T cells (-0.66)       | JUN kinase binding (GO:0008432) (GO_Molecular_Function_2021) || aryl sulfotransferase activity (GO:0004062) (GO_Molecular_Function_2021) || glucocorticoid receptor binding (GO:0035259) (GO_Molecular_Function_2021)
2420       | CD14+ Monocytes (-0.38)   | glycosaminoglycan metabolic process (GO:0030203) (GO_Biological_Process_2021) || heparan sulfate proteoglycan biosynthetic process (GO:0015012) (GO_Biological_Process_2021) || heparan sulfate proteoglycan metabolic process (GO:0030201) (GO_Biological_Process_2021)
1618       | CD4 T cells (0.46)        | pyrophosphatase activity (GO:0016462) (GO_Molecular_Function_2021)
1017       | CD4 T cells (-0.71)       | mitochondrial fusion (GO:0008053) (GO_Biological_Process_2021) || organelle fusion (GO:0048284) (GO_Biological_Process_2021)
3478       | CD14+ Monocytes (0.47)    | carboxy-lyase activity (GO:0016831) (GO_Molecular_Function_2021) || 1,4-alpha-oligoglucan phosphorylase activity (GO:0004645) (GO_Molecular_Function_2021) || cadmium ion binding (GO:0046870) (GO_Molecular_Function_2021)
1565       | B cells (0.32)            | oxidized DNA binding (GO:0032356) (GO_Molecular_Function_2021) || oxidized purine DNA binding (GO:0032357) (GO_Molecular_Function_2021)
506        | B cells (0.40)            | RNA polymerase II complex binding (GO:0000993) (GO_Molecular_Function_2021) || RNA polymerase core enzyme binding (GO:0043175) (GO_Molecular_Function_2021) || basal RNA polymerase II transcription machinery binding (GO:0001099) (GO_Molecular_Function_2021)
2433       | B cells (0.55)            | nucleotide-sugar biosynthetic process (GO:0009226) (GO_Biological_Process_2021) || establishment of epithelial cell polarity (GO:0090162) (GO_Biological_Process_2021)
3340       | FCGR3A+ Monocytes (-0.36) | RNA binding (GO:0003723) (GO_Molecular_Function_2021) || RNA splicing, via transesterification reactions with bulged adenosine as nucleophile (GO:0000377) (GO_Biological_Process_2021) || mRNA splicing, via spliceosome (GO:0000398) (GO_Biological_Process_2021)
1285       | CD14+ Monocytes (-0.45)   | microbody membrane (GO:0031903) (GO_Cellular_Component_2021) || peroxisomal membrane (GO:0005778) (GO_Cellular_Component_2021) || peroxisome (GO:0005777) (GO_Cellular_Component_2021)
2291       | CD14+ Monocytes (-0.40)   | deuterosome (GO:0098536) (GO_Cellular_Component_2021) || rough endoplasmic reticulum membrane (GO:0030867) (GO_Cellular_Component_2021) || Golgi trans cisterna (GO:0000138) (GO_Cellular_Component_2021)
4145       | Megakaryocytes (-0.10)    | antigen processing and presentation of exogenous peptide antigen via MHC class II (GO:0019886) (GO_Biological_Process_2021) || antigen processing and presentation of peptide antigen via MHC class II (GO:0002495) (GO_Biological_Process_2021) || antigen processing and presentation of exogenous peptide antigen (GO:0002478) (GO_Biological_Process_2021)
1023       | CD4 T cells (0.83)        | chemokine binding (GO:0019956) (GO_Molecular_Function_2021) || ubiquitin protein ligase binding (GO:0031625) (GO_Molecular_Function_2021) || thioesterase binding (GO:0031996) (GO_Molecular_Function_2021)
3257       | CD4 T cells (0.71)        | Golgi membrane (GO:0000139) (GO_Cellular_Component_2021)
2594       | CD14+ Monocytes (-0.54)   | extrinsic component of endosome membrane (GO:0031313) (GO_Cellular_Component_2021) || phosphatidylinositol 3-kinase regulator activity (GO:0035014) (GO_Molecular_Function_2021) || regulation of lipid kinase activity (GO:0043550) (GO_Biological_Process_2021)
3051       | FCGR3A+ Monocytes (0.32)  | transmembrane receptor protein tyrosine kinase signaling pathway (GO:0007169) (GO_Biological_Process_2021) || phagosome acidification (GO:0090383) (GO_Biological_Process_2021) || intracellular pH reduction (GO:0051452) (GO_Biological_Process_2021)
3068       | CD4 T cells (0.75)        | signal peptide processing (GO:0006465) (GO_Biological_Process_2021) || T-helper cell differentiation (GO:0042093) (GO_Biological_Process_2021) || dendritic cell chemotaxis (GO:0002407) (GO_Biological_Process_2021)
93         | CD14+ Monocytes (-0.56)   | L-lactate dehydrogenase activity (GO:0004459) (GO_Molecular_Function_2021) || lactate dehydrogenase activity (GO:0004457) (GO_Molecular_Function_2021) || CoA carboxylase activity (GO:0016421) (GO_Molecular_Function_2021)
1558       | NK cells (-0.35)          | intracellular membrane-bounded organelle (GO:0043231) (GO_Cellular_Component_2021) || phosphatase activator activity (GO:0019211) (GO_Molecular_Function_2021) || ubiquitin binding (GO:0043130) (GO_Molecular_Function_2021)
1981       | CD14+ Monocytes (-0.32)   | enoyl-CoA hydratase activity (GO:0004300) (GO_Molecular_Function_2021) || death receptor activity (GO:0005035) (GO_Molecular_Function_2021) || clathrin adaptor activity (GO:0035615) (GO_Molecular_Function_2021)
3093       | CD14+ Monocytes (-0.36)   | mitochondrial ribosome (GO:0005761) (GO_Cellular_Component_2021) || mitochondrial matrix (GO:0005759) (GO_Cellular_Component_2021)
3283       | NK cells (0.28)           | chloride ion binding (GO:0031404) (GO_Molecular_Function_2021) || positive regulation of granulocyte differentiation (GO:0030854) (GO_Biological_Process_2021) || regulation of granulocyte differentiation (GO:0030852) (GO_Biological_Process_2021)
1999       | CD14+ Monocytes (-0.42)   | cullin-RING ubiquitin ligase complex (GO:0031461) (GO_Cellular_Component_2021)
3341       | CD4 T cells (-0.61)       | glucose catabolic process to pyruvate (GO:0061718) (GO_Biological_Process_2021) || canonical glycolysis (GO:0061621) (GO_Biological_Process_2021) || glycolytic process through glucose-6-phosphate (GO:0061620) (GO_Biological_Process_2021)
3472       | CD4 T cells (0.81)        | receptor internalization (GO:0031623) (GO_Biological_Process_2021) || B cell homeostasis (GO:0001782) (GO_Biological_Process_2021) || receptor metabolic process (GO:0043112) (GO_Biological_Process_2021)
913        | CD4 T cells (0.60)        | carboxylic acid transmembrane transport (GO:1905039) (GO_Biological_Process_2021) || C4-dicarboxylate transmembrane transporter activity (GO:0015556) (GO_Molecular_Function_2021)
2147       | CD4 T cells (-0.27)       | mismatch repair (GO:0006298) (GO_Biological_Process_2021) || DNA repair (GO:0006281) (GO_Biological_Process_2021) || single-stranded DNA binding (GO:0003697) (GO_Molecular_Function_2021)
3227       | CD14+ Monocytes (-0.61)   | interleukin-12 receptor binding (GO:0005143) (GO_Molecular_Function_2021) || RNA polymerase II-specific DNA-binding transcription factor binding (GO:0061629) (GO_Molecular_Function_2021) || interleukin-17 receptor activity (GO:0030368) (GO_Molecular_Function_2021)
2155       | FCGR3A+ Monocytes (0.33)  | proteasomal ubiquitin-independent protein catabolic process (GO:0010499) (GO_Biological_Process_2021) || regulation of cellular amine metabolic process (GO:0033238) (GO_Biological_Process_2021) || regulation of cellular amino acid metabolic process (GO:0006521) (GO_Biological_Process_2021)
740        | CD4 T cells (0.60)        | chemokine binding (GO:0019956) (GO_Molecular_Function_2021) || C-C chemokine receptor activity (GO:0016493) (GO_Molecular_Function_2021) || C-C chemokine binding (GO:0019957) (GO_Molecular_Function_2021)
4817       | NK cells (0.26)           | genetic imprinting (GO:0071514) (GO_Biological_Process_2021) || regulation of gene expression by genetic imprinting (GO:0006349) (GO_Biological_Process_2021) || lysine N-methyltransferase activity (GO:0016278) (GO_Molecular_Function_2021)
687        | B cells (-0.22)           | translation initiation factor activity (GO:0003743) (GO_Molecular_Function_2021) || RNA binding (GO:0003723) (GO_Molecular_Function_2021) || cytoplasmic translational initiation (GO:0002183) (GO_Biological_Process_2021)
4667       | CD14+ Monocytes (-0.59)   | basolateral plasma membrane (GO:0016323) (GO_Cellular_Component_2021) || elastic fiber assembly (GO:0048251) (GO_Biological_Process_2021) || extracellular matrix assembly (GO:0085029) (GO_Biological_Process_2021)
2212       | B cells (-0.31)           | MAP kinase activity (GO:0004707) (GO_Molecular_Function_2021) || vitamin D receptor binding (GO:0042809) (GO_Molecular_Function_2021) || thyroid hormone receptor binding (GO:0046966) (GO_Molecular_Function_2021)
2858       | FCGR3A+ Monocytes (-0.36) | Fc-epsilon receptor signaling pathway (GO:0038095) (GO_Biological_Process_2021) || Fc receptor signaling pathway (GO:0038093) (GO_Biological_Process_2021) || regulation of chromosome separation (GO:1905818) (GO_Biological_Process_2021)
543        | CD14+ Monocytes (-0.51)   | protein phosphatase 2A binding (GO:0051721) (GO_Molecular_Function_2021) || protein phosphatase binding (GO:0019903) (GO_Molecular_Function_2021) || histone acetyltransferase activity (H3-K23 specific) (GO:0043994) (GO_Molecular_Function_2021)
3640       | NK cells (-0.38)          | protein transport to vacuole involved in ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway (GO:0043328) (GO_Biological_Process_2021) || establishment of protein localization to vacuole (GO:0072666) (GO_Biological_Process_2021) || RNA binding (GO:0003723) (GO_Molecular_Function_2021)
2008       | CD4 T cells (0.49)        | RNA binding (GO:0003723) (GO_Molecular_Function_2021) || regulation of alternative mRNA splicing, via spliceosome (GO:0000381) (GO_Biological_Process_2021) || regulation of skeletal muscle cell differentiation (GO:2001014) (GO_Biological_Process_2021)
2489       | CD4 T cells (0.71)        | regulation of ribonuclease activity (GO:0060700) (GO_Biological_Process_2021) || defense response to symbiont (GO:0140546) (GO_Biological_Process_2021) || defense response to virus (GO:0051607) (GO_Biological_Process_2021)
59         | CD14+ Monocytes (-0.46)   | leucine binding (GO:0070728) (GO_Molecular_Function_2021) || estrogen 16-alpha-hydroxylase activity (GO:0101020) (GO_Molecular_Function_2021) || retinoic acid 4-hydroxylase activity (GO:0008401) (GO_Molecular_Function_2021)
1463       | CD14+ Monocytes (-0.24)   | NAADP-sensitive calcium-release channel activity (GO:0072345) (GO_Molecular_Function_2021) || pyruvate dehydrogenase (acetyl-transferring) kinase activity (GO:0004740) (GO_Molecular_Function_2021) || alpha-N-acetylneuraminate alpha-2,8-sialyltransferase activity (GO:0003828) (GO_Molecular_Function_2021)
2387       | CD14+ Monocytes (-0.58)   | nuclear export (GO:0051168) (GO_Biological_Process_2021) || tRNA export from nucleus (GO:0006409) (GO_Biological_Process_2021) || tRNA-containing ribonucleoprotein complex export from nucleus (GO:0071431) (GO_Biological_Process_2021)
560        | CD14+ Monocytes (-0.39)   | myofibril assembly (GO:0030239) (GO_Biological_Process_2021) || actomyosin structure organization (GO:0031032) (GO_Biological_Process_2021) || NADH dehydrogenase (quinone) activity (GO:0050136) (GO_Molecular_Function_2021)
1473       | CD4 T cells (0.63)        | negative regulation of cellular process (GO:0048523) (GO_Biological_Process_2021) || nucleosome assembly (GO:0006334) (GO_Biological_Process_2021) || DNA replication-independent nucleosome organization (GO:0034724) (GO_Biological_Process_2021)
961        | FCGR3A+ Monocytes (0.19)  | glutathione transmembrane transporter activity (GO:0034634) (GO_Molecular_Function_2021) || aspartic endopeptidase activity, intramembrane cleaving (GO:0042500) (GO_Molecular_Function_2021) || tripeptide transmembrane transporter activity (GO:0042937) (GO_Molecular_Function_2021)
2373       | CD4 T cells (0.60)        | histone demethylase activity (H3-K36 specific) (GO:0051864) (GO_Molecular_Function_2021) || histone H3-K36 demethylation (GO:0070544) (GO_Biological_Process_2021) || protein ubiquitination (GO:0016567) (GO_Biological_Process_2021)
2453       | B cells (-0.45)           | Golgi membrane (GO:0000139) (GO_Cellular_Component_2021) || mitotic spindle (GO:0072686) (GO_Cellular_Component_2021) || protein kinase complex (GO:1902911) (GO_Cellular_Component_2021)
3854       | CD4 T cells (0.69)        | nuclear-transcribed mRNA catabolic process, nonsense-mediated decay (GO:0000184) (GO_Biological_Process_2021) || SRP-dependent cotranslational protein targeting to membrane (GO:0006614) (GO_Biological_Process_2021) || cytoplasmic translation (GO:0002181) (GO_Biological_Process_2021)
4831       | CD4 T cells (-0.62)       | GTP binding (GO:0005525) (GO_Molecular_Function_2021) || mitogen-activated protein kinase kinase binding (GO:0031434) (GO_Molecular_Function_2021) || magnesium ion transmembrane transporter activity (GO:0015095) (GO_Molecular_Function_2021)
276        | B cells (-0.31)           | cytoplasmic side of plasma membrane (GO:0009898) (GO_Cellular_Component_2021) || DNA-binding transcription activator activity, RNA polymerase II-specific (GO:0001228) (GO_Molecular_Function_2021) || RNA polymerase II cis-regulatory region sequence-specific DNA binding (GO:0000978) (GO_Molecular_Function_2021)
2981       | CD4 T cells (0.62)        | negative regulation of neuroinflammatory response (GO:0150079) (GO_Biological_Process_2021) || negative regulation of macrophage activation (GO:0043031) (GO_Biological_Process_2021) || secretory vesicle (GO:0099503) (GO_Cellular_Component_2021)
2638       | B cells (-0.29)           | tRNA binding (GO:0000049) (GO_Molecular_Function_2021) || mitochondrial inner membrane (GO:0005743) (GO_Cellular_Component_2021) || organelle inner membrane (GO:0019866) (GO_Cellular_Component_2021)
3958       | CD14+ Monocytes (0.16)    | protein localization to basolateral plasma membrane (GO:1903361) (GO_Biological_Process_2021)
3418       | FCGR3A+ Monocytes (0.30)  | lipopolysaccharide-mediated signaling pathway (GO:0031663) (GO_Biological_Process_2021) || protein kinase B signaling (GO:0043491) (GO_Biological_Process_2021) || CCR1 chemokine receptor binding (GO:0031726) (GO_Molecular_Function_2021)
